Storm,Year,Site ID,Site Name,Lat,Lon,County/Parish/Independent City/Island,State/Territory,Observing Network,Total
Helene,2024,BSKN7,Busick,35.7448,-82.215,Yancey,NC,RAWS,30.78
Helene,2024,NCML10,Spruce Pine 6.6 SW,35.8378,-82.1375,Mitchell,NC,CoCoRaHS,24.12
Helene,2024,NCHM25,Hendersonville 6.1 SSW,35.2408,-82.5042,Henderson,NC,CoCoRaHS,21.96
Helene,2024,SFMS1,Sunfish Mountain,35.0483,-82.7486,Greenville,SC,HADS,21.66
Helene,2024,NC-HN-71,Hendersonville 3.1 WSW,35.3034,-82.5119,Henderson,NC,CoCoRaHS,18.89
Helene,2024,SCGV81,Slater-Marietta 6.4 NW,35.1087,-82.5592,Greenville,SC,CoCoRaHS,18.12
Helene,2024,DARN7,Davidson River,35.3489,-82.7756,Transylvania,NC,RAWS,18.02
Helene,2024,SKYN7,NC Arboretum,35.4947,-82.6142,Buncombe,NC,HADS,17.31
Helene,2024,NCHN39,Mountain Home 0.9 WNW,35.3751,-82.5191,Henderson,NC,CoCoRaHS,17.09
Helene,2024,GUIN7,Guion Farm,35.2128,-82.5897,Henderson,NC,RAWS ,16.9
,,,,,,,,,
,,,,,,,,,
Latest Update:,10/2/2024,,,,,,,,
Update Details:,,,,,,,,,
Rainfall Start Time:,[1200 UTC Sep 25 2024],,,,,,,,
Rainfall End Time:,[1200 UTC Sep 28 2024],,,,,,,,
Remarks:,,,,,,,,,
