Storm_Name,Storm_Num,Storm_Status,Lat,Lon,Time,Max_Speed,Min_SLP
HELENE,AL092024,DB,17.2,-81.7,2024-09-23 12:00:00,30.0,1004.0
HELENE,AL092024,DB,17.8,-81.9,2024-09-23 18:00:00,35.0,1004.0
HELENE,AL092024,DB,18.2,-82.2,2024-09-24 00:00:00,35.0,1002.0
HELENE,AL092024,DB,18.6,-82.8,2024-09-24 06:00:00,35.0,1001.0
HELENE,AL092024,TS,19.2,-83.7,2024-09-24 12:00:00,40.0,999.0
HELENE,AL092024,TS,19.4,-84.6,2024-09-24 18:00:00,45.0,997.0
HELENE,AL092024,TS,19.7,-85.2,2024-09-25 00:00:00,50.0,990.0
HELENE,AL092024,TS,20.3,-85.9,2024-09-25 06:00:00,55.0,985.0
HELENE,AL092024,HU,21.1,-86.2,2024-09-25 12:00:00,65.0,979.0
HELENE,AL092024,HU,22.0,-86.5,2024-09-25 18:00:00,70.0,978.0
HELENE,AL092024,HU,22.8,-86.7,2024-09-26 00:00:00,70.0,973.0
HELENE,AL092024,HU,23.6,-86.5,2024-09-26 06:00:00,75.0,970.0
HELENE,AL092024,HU,24.7,-85.8,2024-09-26 12:00:00,85.0,963.0
HELENE,AL092024,HU,26.6,-85.0,2024-09-26 18:00:00,105.0,958.0
HELENE,AL092024,HU,28.7,-84.3,2024-09-27 00:00:00,120.0,941.0
HELENE,AL092024,HU,30.0,-83.7,2024-09-27 03:10:00,120.0,939.0
HELENE,AL092024,HU,30.8,-83.5,2024-09-27 05:00:00,95.0,947.0
HELENE,AL092024,HU,31.3,-83.3,2024-09-27 06:00:00,80.0,957.0
HELENE,AL092024,TS,32.9,-83.1,2024-09-27 09:00:00,60.0,967.0
HELENE,AL092024,TS,34.4,-83.2,2024-09-27 12:00:00,45.0,973.0
HELENE,AL092024,LO,36.8,-84.9,2024-09-27 18:00:00,40.0,983.0
HELENE,AL092024,LO,38.1,-86.6,2024-09-28 00:00:00,40.0,985.0
HELENE,AL092024,LO,37.4,-88.1,2024-09-28 06:00:00,30.0,992.0
HELENE,AL092024,LO,36.6,-87.6,2024-09-28 12:00:00,25.0,997.0
HELENE,AL092024,LO,37.1,-87.0,2024-09-28 18:00:00,20.0,1000.0
